prediction,confidence,truth,adv_status
2,0.1518523097038269,7,Adversary
5,0.7771568298339844,5,No Adversary
8,0.8023892045021057,8,No Adversary
1,0.9754878282546997,1,No Adversary
1,0.9826515913009644,1,No Adversary
1,0.15087956190109253,1,Adversary
2,0.2908517122268677,2,Adversary
7,0.18790403008460999,7,Adversary
3,0.7665349841117859,3,No Adversary
1,0.16233521699905396,1,Adversary
8,0.18294914066791534,8,Adversary
6,0.9760862588882446,6,No Adversary
2,0.9573464393615723,2,No Adversary
1,0.14802683889865875,1,Adversary
4,0.9669778943061829,4,No Adversary
2,0.12640313804149628,9,Adversary
9,0.9009972214698792,9,No Adversary
0,0.9754288196563721,0,No Adversary
2,0.13477592170238495,0,Adversary
0,0.9395592212677002,0,No Adversary
8,0.6781169772148132,8,No Adversary
0,0.9852672815322876,0,No Adversary
3,0.9575165510177612,3,No Adversary
5,0.2259308248758316,5,Adversary
2,0.12571218609809875,1,Adversary
5,0.9842410087585449,5,No Adversary
7,0.5940373539924622,7,No Adversary
6,0.9578579664230347,6,No Adversary
6,0.9476684331893921,6,No Adversary
7,0.8254032135009766,7,No Adversary
7,0.9002307057380676,7,No Adversary
0,0.16198061406612396,0,Adversary
1,0.15688923001289368,1,Adversary
5,0.9767006635665894,5,No Adversary
7,0.14218969643115997,7,Adversary
7,0.9468587636947632,7,No Adversary
2,0.24361251294612885,2,Adversary
0,0.9639745354652405,0,No Adversary
8,0.1395881623029709,8,Adversary
1,0.15734657645225525,1,Adversary
5,0.16341395676136017,6,Adversary
4,0.9218493700027466,4,No Adversary
5,0.9769685864448547,5,No Adversary
8,0.9650536179542542,8,No Adversary
8,0.142171710729599,9,Adversary
7,0.5543204545974731,7,No Adversary
8,0.1502409428358078,1,Adversary
9,0.9657001495361328,9,No Adversary
3,0.14686663448810577,3,Adversary
4,0.2248753011226654,4,Adversary
6,0.14054933190345764,6,Adversary
7,0.16161933541297913,7,Adversary
2,0.9858030080795288,2,No Adversary
3,0.1465914398431778,2,Adversary
2,0.891166627407074,2,No Adversary
2,0.9926334619522095,2,No Adversary
2,0.9840984344482422,2,No Adversary
0,0.9582512378692627,0,No Adversary
3,0.6316933631896973,3,No Adversary
0,0.17009787261486053,0,Adversary
7,0.16663651168346405,7,Adversary
2,0.9647358059883118,2,No Adversary
7,0.8873530626296997,7,No Adversary
2,0.16823464632034302,4,Adversary
8,0.13986314833164215,1,Adversary
8,0.8781129717826843,8,No Adversary
2,0.9793658256530762,2,No Adversary
8,0.17617851495742798,8,Adversary
4,0.12531466782093048,4,Adversary
2,0.9381386041641235,2,No Adversary
0,0.49591389298439026,0,No Adversary
3,0.20015962421894073,3,Adversary
5,0.9728812575340271,5,No Adversary
9,0.13193684816360474,9,Adversary
8,0.8427351117134094,8,No Adversary
9,0.14612959325313568,9,Adversary
