,original,adversary,truth,epsilon
0,7,7,7,0.6
1,6,6,6,0.6
2,7,2,7,0.6
3,5,5,5,0.6
4,6,6,6,0.6
5,7,7,7,0.6
6,8,8,8,0.6
7,1,1,1,0.6
8,1,1,1,0.6
9,2,2,2,0.6
10,4,4,4,0.6
11,1,1,1,0.6
12,0,0,0,0.6
13,0,8,8,0.6
14,4,4,4,0.6
15,4,4,4,0.6
16,4,4,4,0.6
17,9,9,9,0.6
18,8,8,8,0.6
19,1,1,1,0.6
20,3,3,3,0.6
21,3,3,3,0.6
22,8,8,8,0.6
23,6,6,6,0.6
24,2,2,2,0.6
25,9,8,7,0.6
26,5,5,5,0.6
27,1,1,1,0.6
28,6,6,6,0.6
29,5,5,5,0.6
30,6,6,6,0.6
31,2,2,2,0.6
32,9,9,9,0.6
33,2,2,2,0.6
34,8,8,8,0.6
35,4,4,4,0.6
36,9,9,9,0.6
37,4,4,4,0.6
38,8,8,8,0.6
39,6,6,6,0.6
40,7,8,7,0.6
41,7,7,7,0.6
42,9,9,9,0.6
43,8,8,8,0.6
44,4,4,4,0.6
45,9,9,9,0.6
46,5,5,5,0.6
47,3,3,3,0.6
48,1,1,1,0.6
49,0,0,0,0.6
50,9,9,9,0.6
51,1,1,1,0.6
52,7,7,7,0.6
53,3,3,3,0.6
54,7,7,7,0.6
55,0,0,0,0.6
56,9,9,9,0.6
57,2,2,2,0.6
58,5,5,5,0.6
59,1,1,1,0.6
60,8,8,8,0.6
61,9,9,9,0.6
62,3,3,3,0.6
63,7,7,7,0.6
64,8,8,8,0.6
65,4,4,4,0.6
66,1,1,1,0.6
67,9,9,9,0.6
68,0,0,0,0.6
69,3,3,3,0.6
70,1,1,1,0.6
71,2,2,2,0.6
72,3,3,3,0.6
73,6,6,6,0.6
74,2,2,2,0.6
75,9,9,9,0.6
76,9,9,9,0.6
77,0,0,0,0.6
78,3,3,3,0.6
79,8,8,8,0.6
80,3,3,3,0.6
81,0,0,0,0.6
82,8,8,8,0.6
83,8,8,8,0.6
84,5,5,5,0.6
85,3,3,3,0.6
86,8,8,8,0.6
87,2,2,2,0.6
88,8,8,8,0.6
89,5,5,5,0.6
90,5,5,5,0.6
91,7,7,7,0.6
92,1,1,1,0.6
93,5,5,5,0.6
94,5,5,5,0.6
95,1,1,1,0.6
96,0,0,0,0.6
97,0,9,9,0.6
98,7,2,7,0.6
99,5,5,5,0.6
100,2,2,2,0.6
101,0,0,0,0.6
102,7,2,7,0.6
103,6,6,6,0.6
104,1,1,1,0.6
105,2,2,2,0.6
106,2,2,2,0.6
107,7,7,7,0.6
108,5,5,5,0.6
109,4,4,4,0.6
